,game_id,season,week,home_team,away_team,home_spread_open,home_spread_open_price,away_spread_open_price,home_spread_open_source,home_spread_open_timestamp,home_spread_last,home_spread_last_price,away_spread_last_price,home_spread_last_source,home_spread_last_timestamp,home_spread_tickets_pct,home_spread_money_pct,home_spread_pcts_source,home_spread_pct_timestamp,home_ml_open,away_ml_open,ml_open_source,ml_open_timestamp,home_ml_last,away_ml_last,ml_last_source,ml_last_timestamp,total_line_open,under_price_open,over_price_open,total_line_open_source,total_line_open_timestamp,total_line_last,under_price_last,over_price_last,total_line_last_source,total_line_last_timestamp
0,2023_22_SF_KC,2023,22,KC,SF,,,,,,2.0,-115,-105,action-hq-consensus,2024-02-10 00:05:13.548446-08:00,0.7,0.74,action-hq-consensus,2024-02-10 00:05:13.548446-08:00,,,,,110,-122,action-hq-consensus,2024-02-10 00:05:13.548446-08:00,,,,,,47.5,-110,-110,action-hq-consensus,2024-02-10 00:05:13.548446-08:00
1,2023_21_KC_BAL,2023,21,BAL,KC,-3.5,-102.0,-118.0,draftkings,2024-01-23 00:05:05.489359-08:00,-4.5,-108,-112,draftkings,2024-01-28 00:05:05.396080-08:00,,,,,-180.0,150.0,draftkings,2024-01-23 00:05:05.489359-08:00,-218,180,draftkings,2024-01-28 00:05:05.396080-08:00,44.5,-110.0,-110.0,draftkings,2024-01-23 00:05:05.489359-08:00,44.5,-115,-105,draftkings,2024-01-28 00:05:05.396080-08:00
2,2023_21_DET_SF,2023,21,SF,DET,-7.0,-105.0,-115.0,draftkings,2024-01-23 00:05:05.489359-08:00,-7.0,-115,-105,draftkings,2024-01-28 00:05:05.396080-08:00,,,,,-310.0,250.0,draftkings,2024-01-23 00:05:05.489359-08:00,-345,275,draftkings,2024-01-28 00:05:05.396080-08:00,51.0,-110.0,-110.0,draftkings,2024-01-23 00:05:05.489359-08:00,51.5,-105,-115,draftkings,2024-01-28 00:05:05.396080-08:00
